participants,image_name,score
0,0.png,0.6
0,1.png,0.48888888888888893
0,2.png,0.5777777777777778
0,3.png,0.5333333333333333
0,4.png,0.0
0,5.png,0.11111111111111112
0,6.png,0.4444444444444445
0,7.png,0.5111111111111112
0,8.png,0.6222222222222222
0,9.png,0.4222222222222222
0,10.png,0.6666666666666667
0,11.png,0.7777777777777778
0,12.png,0.06666666666666667
0,13.png,0.4666666666666667
0,14.png,0.5555555555555556
0,15.png,0.6444444444444445
0,16.png,0.37777777777777777
0,17.png,0.08888888888888889
0,18.png,0.24444444444444446
0,19.png,0.17777777777777778
0,20.png,0.33333333333333337
0,21.png,0.22222222222222224
0,22.png,0.3111111111111111
0,23.png,0.15555555555555556
0,24.png,0.2888888888888889
0,25.png,0.35555555555555557
0,26.png,0.2
0,27.png,0.022222222222222223
0,28.png,0.26666666666666666
0,29.png,0.13333333333333333
0,30.png,0.8222222222222223
0,31.png,0.8444444444444444
0,32.png,0.6888888888888889
0,33.png,0.9333333333333333
0,34.png,0.9555555555555556
0,35.png,0.9777777777777779
0,36.png,0.4
0,37.png,0.888888888888889
0,38.png,0.7555555555555555
0,39.png,0.9111111111111111
0,40.png,0.8
0,41.png,0.7111111111111111
0,42.png,0.044444444444444446
0,43.png,0.8666666666666667
0,44.png,0.7333333333333334
1,0.png,0.11111111111111112
1,1.png,0.5333333333333333
1,2.png,0.5555555555555556
1,3.png,0.6
1,4.png,0.37777777777777777
1,5.png,0.6888888888888889
1,6.png,0.7333333333333334
1,7.png,0.7111111111111111
1,8.png,0.5111111111111112
1,9.png,0.17777777777777778
1,10.png,0.4444444444444445
1,11.png,0.8444444444444444
1,12.png,0.22222222222222224
1,13.png,0.6666666666666667
1,14.png,0.24444444444444446
1,15.png,0.35555555555555557
1,16.png,0.4222222222222222
1,17.png,0.33333333333333337
1,18.png,0.48888888888888893
1,19.png,0.6444444444444445
1,20.png,0.2
1,21.png,0.044444444444444446
1,22.png,0.6222222222222222
1,23.png,0.022222222222222223
1,24.png,0.4
1,25.png,0.4666666666666667
1,26.png,0.5777777777777778
1,27.png,0.0
1,28.png,0.7555555555555555
1,29.png,0.15555555555555556
1,30.png,0.7777777777777778
1,31.png,0.8
1,32.png,0.9555555555555556
1,33.png,0.9777777777777779
1,34.png,0.9333333333333333
1,35.png,0.26666666666666666
1,36.png,0.13333333333333333
1,37.png,0.8222222222222223
1,38.png,0.06666666666666667
1,39.png,0.888888888888889
1,40.png,0.2888888888888889
1,41.png,0.9111111111111111
1,42.png,0.08888888888888889
1,43.png,0.8666666666666667
1,44.png,0.3111111111111111
2,0.png,0.33333333333333337
2,1.png,0.7555555555555555
2,2.png,0.4
2,3.png,0.7333333333333334
2,4.png,0.11111111111111112
2,5.png,0.6444444444444445
2,6.png,0.2888888888888889
2,7.png,0.26666666666666666
2,8.png,0.48888888888888893
2,9.png,0.13333333333333333
2,10.png,0.4444444444444445
2,11.png,0.8
2,12.png,0.0
2,13.png,0.7111111111111111
2,14.png,0.35555555555555557
2,15.png,0.37777777777777777
2,16.png,0.5777777777777778
2,17.png,0.5111111111111112
2,18.png,0.6222222222222222
2,19.png,0.6666666666666667
2,20.png,0.5555555555555556
2,21.png,0.17777777777777778
2,22.png,0.6
2,23.png,0.044444444444444446
2,24.png,0.4222222222222222
2,25.png,0.22222222222222224
2,26.png,0.6888888888888889
2,27.png,0.06666666666666667
2,28.png,0.7777777777777778
2,29.png,0.2
2,30.png,0.5333333333333333
2,31.png,0.8222222222222223
2,32.png,0.9333333333333333
2,33.png,0.9111111111111111
2,34.png,0.9777777777777779
2,35.png,0.4666666666666667
2,36.png,0.15555555555555556
2,37.png,0.8444444444444444
2,38.png,0.08888888888888889
2,39.png,0.8666666666666667
2,40.png,0.3111111111111111
2,41.png,0.9555555555555556
2,42.png,0.022222222222222223
2,43.png,0.888888888888889
2,44.png,0.24444444444444446
3,0.png,0.35555555555555557
3,1.png,0.5555555555555556
3,2.png,0.5777777777777778
3,3.png,0.6444444444444445
3,4.png,0.33333333333333337
3,5.png,0.5333333333333333
3,6.png,0.4
3,7.png,0.37777777777777777
3,8.png,0.7777777777777778
3,9.png,0.26666666666666666
3,10.png,0.6666666666666667
3,11.png,0.8222222222222223
3,12.png,0.2
3,13.png,0.8
3,14.png,0.3111111111111111
3,15.png,0.2888888888888889
3,16.png,0.7111111111111111
3,17.png,0.24444444444444446
3,18.png,0.6888888888888889
3,19.png,0.6
3,20.png,0.22222222222222224
3,21.png,0.17777777777777778
3,22.png,0.5111111111111112
3,23.png,0.044444444444444446
3,24.png,0.4666666666666667
3,25.png,0.4444444444444445
3,26.png,0.4222222222222222
3,27.png,0.0
3,28.png,0.7333333333333334
3,29.png,0.15555555555555556
3,30.png,0.8444444444444444
3,31.png,0.8666666666666667
3,32.png,0.7555555555555555
3,33.png,0.9555555555555556
3,34.png,0.6222222222222222
3,35.png,0.48888888888888893
3,36.png,0.08888888888888889
3,37.png,0.888888888888889
3,38.png,0.06666666666666667
3,39.png,0.9111111111111111
3,40.png,0.13333333333333333
3,41.png,0.9777777777777779
3,42.png,0.022222222222222223
3,43.png,0.9333333333333333
3,44.png,0.11111111111111112
4,0.png,0.35555555555555557
4,1.png,0.6444444444444445
4,2.png,0.5555555555555556
4,3.png,0.7777777777777778
4,4.png,0.13333333333333333
4,5.png,0.4
4,6.png,0.33333333333333337
4,7.png,0.2888888888888889
4,8.png,0.5333333333333333
4,9.png,0.08888888888888889
4,10.png,0.6888888888888889
4,11.png,0.9333333333333333
4,12.png,0.044444444444444446
4,13.png,0.7333333333333334
4,14.png,0.22222222222222224
4,15.png,0.26666666666666666
4,16.png,0.5777777777777778
4,17.png,0.2
4,18.png,0.6666666666666667
4,19.png,0.37777777777777777
4,20.png,0.6222222222222222
4,21.png,0.15555555555555556
4,22.png,0.6
4,23.png,0.022222222222222223
4,24.png,0.17777777777777778
4,25.png,0.48888888888888893
4,26.png,0.4222222222222222
4,27.png,0.0
4,28.png,0.7555555555555555
4,29.png,0.4666666666666667
4,30.png,0.4444444444444445
4,31.png,0.8666666666666667
4,32.png,0.9777777777777779
4,33.png,0.9111111111111111
4,34.png,0.8
4,35.png,0.7111111111111111
4,36.png,0.3111111111111111
4,37.png,0.8444444444444444
4,38.png,0.11111111111111112
4,39.png,0.8222222222222223
4,40.png,0.5111111111111112
4,41.png,0.9555555555555556
4,42.png,0.06666666666666667
4,43.png,0.888888888888889
4,44.png,0.24444444444444446
5,0.png,0.08888888888888889
5,1.png,0.13333333333333333
5,2.png,0.48888888888888893
5,3.png,0.6888888888888889
5,4.png,0.5777777777777778
5,5.png,0.6
5,6.png,0.6222222222222222
5,7.png,0.6444444444444445
5,8.png,0.7777777777777778
5,9.png,0.8222222222222223
5,10.png,0.5333333333333333
5,11.png,0.7555555555555555
5,12.png,0.044444444444444446
5,13.png,0.33333333333333337
5,14.png,0.11111111111111112
5,15.png,0.24444444444444446
5,16.png,0.35555555555555557
5,17.png,0.022222222222222223
5,18.png,0.2888888888888889
5,19.png,0.17777777777777778
5,20.png,0.4
5,21.png,0.3111111111111111
5,22.png,0.37777777777777777
5,23.png,0.22222222222222224
5,24.png,0.2
5,25.png,0.7111111111111111
5,26.png,0.7333333333333334
